Batch,Material,MaterialDescription,TherapeuticCategory,BatchIdentifyingPlant,PlantName,ShelfLifeExpirationDate,ManufactureDate,LastGoodsReceiptDate,BatchIsMarkedForDeletion,MatlBatchIsInRstrcdUseStock,Supplier,SupplierName,CountryOfOrigin,Quantity,BaseUnit
B0001020,PH-CTR-100,Ceftriaxone 1g injection,ANTIBIOTIC,2010,Bangalore DC,2028-08-05,2026-04-03,2026-04-10,false,false,V-P004,Sun Pharmaceutical Industries,IN,1000,EA
B0001009,PH-ATV-20,Atorvastatin 20mg tablets,CHRONIC,1710,New Jersey DC,2026-06-11,2026-03-13,2026-03-20,false,false,V-P003,Dr. Reddy's Laboratories,CH,10000,EA
B0001013,PH-EPI-03,Epinephrine auto-injector 0.3mg,INJECTABLE,1010,Frankfurt DC,2027-02-02,2026-03-21,2026-03-28,false,true,V-P002,Teva Pharmaceutical Industries,US,2500,EA
B0001011,PH-LEV-50,Levothyroxine 50mcg tablets,CHRONIC,2010,Bangalore DC,2027-01-21,2025-12-05,2025-12-12,true,false,V-P006,Pfizer Global Biologics,DE,500,EA
B0001015,PH-ONC-GLC,Glucarpidase 1000u vial,ONCOLOGY,2010,Bangalore DC,2028-04-24,2025-02-05,2025-02-12,false,false,V-P006,Pfizer Global Biologics,IN,5000,EA
B0001021,PH-DEX-4,Dexamethasone 4mg tablets,CHRONIC,2010,Bangalore DC,2028-11-18,2026-03-09,2026-03-16,false,false,V-P002,Teva Pharmaceutical Industries,IE,1000,EA
B0001018,PH-VAC-FLU,Influenza vaccine quad 0.5ml,VACCINE,1010,Frankfurt DC,2027-05-26,2026-03-23,2026-03-30,false,false,V-P001,Sandoz AG,US,2500,EA
B0001007,PH-OMP-20,Omeprazole 20mg capsules,OTC,2010,Bangalore DC,2026-07-02,2026-02-03,2026-02-10,false,false,V-P002,Teva Pharmaceutical Industries,IN,1000,EA
B0001002,PH-AZI-250,Azithromycin 250mg tablets,ANTIBIOTIC,1010,Frankfurt DC,2025-11-26,2025-12-18,2025-12-25,false,false,V-P006,Pfizer Global Biologics,IE,100,EA
B0001006,PH-LOR-10,Loratadine 10mg tablets,OTC,1010,Frankfurt DC,2026-07-05,2026-01-02,2026-01-09,false,false,V-P004,Sun Pharmaceutical Industries,DE,1000,EA
B0001004,PH-IBU-200,Ibuprofen 200mg tablets,OTC,1010,Frankfurt DC,2026-02-14,2025-06-21,2025-06-28,false,false,V-P002,Teva Pharmaceutical Industries,IE,5000,EA
B0001001,PH-AMX-250,Amoxicillin 250mg oral susp.,ANTIBIOTIC,1010,Frankfurt DC,2026-02-16,2026-01-17,2026-01-24,false,false,V-P002,Teva Pharmaceutical Industries,DE,500,EA
