MATNR,MATNR_Description,CHARG,WERKS,LGORT,LABST,INSME,SPEME,KSPEM,MEINS,WAERS,BKLAS,STPRS,PEINH,VERPR,SALK3,LGRDT,HSDAT,LIFNR,WGRU1,Therapeutic_Category,Distress_Reason,Writedown_Pct,Writedown_Amount
PH-AMX-250,Amoxicillin 250mg oral susp.,B0001001,1010,0001,500,0,0,0,EA,USD,7900,4.50,1,4.28,2250.00,2026-01-24,2026-02-16,V-P002,DE,ANTIBIOTIC,expired,1.00,2250.00
PH-AMX-500,Amoxicillin 500mg capsules,B0001000,1010,0001,100,0,0,0,EA,USD,7900,4.50,1,4.28,450.00,2026-02-23,2026-03-17,V-P006,US,ANTIBIOTIC,expired,1.00,450.00
PH-AZI-250,Azithromycin 250mg tablets,B0001002,1010,0001,100,0,0,0,EA,USD,7900,4.50,1,4.28,450.00,2025-12-25,2025-11-26,V-P006,IE,ANTIBIOTIC,expired,1.00,450.00
PH-AZI-250,Azithromycin 250mg tablets,B0001030,1010,0001,1000,0,0,0,EA,USD,7900,4.50,1,4.28,4500.00,2023-10-30,2026-06-03,V-P006,DE,ANTIBIOTIC,near_expiry,0.25,1125.00
PH-AZI-250,Azithromycin 250mg tablets,B0001080,1010,0001,100,0,0,0,EA,USD,7900,4.50,1,4.28,450.00,2024-07-29,2026-06-05,V-P006,IE,ANTIBIOTIC,near_expiry,0.25,112.50
PH-CIP-500,Ciprofloxacin 500mg tablets,B0001003,1010,0001,100,0,0,0,EA,USD,7900,4.50,1,4.28,450.00,2025-10-06,2026-04-06,V-P004,DE,ANTIBIOTIC,expired,1.00,450.00
PH-CTR-100,Ceftriaxone 1g injection,B0001025,1010,0001,500,0,0,0,EA,USD,7900,4.50,1,4.28,2250.00,2025-01-06,2026-06-25,V-P001,CH,ANTIBIOTIC,near_expiry,0.25,562.50
PH-CTR-100,Ceftriaxone 1g injection,B0001075,1010,0001,10000,0,0,0,EA,USD,7900,4.50,1,4.28,45000.00,2024-09-07,2028-08-08,V-P001,DE,ANTIBIOTIC,slow_moving,0.30,13500.00
PH-ENO-40,Enoxaparin 40mg syringe,B0001060,1010,0001,1000,0,0,0,EA,USD,7900,25.00,1,23.75,25000.00,2024-06-25,2028-06-24,V-P006,US,INJECTABLE,slow_moving,0.30,7500.00
PH-ENO-40,Enoxaparin 40mg syringe,B0001110,1010,0001,0,0,0,250,EA,USD,7900,25.00,1,23.75,6250.00,2026-04-20,2027-05-03,V-P006,IE,INJECTABLE,quarantine,0.50,3125.00
PH-EPI-03,Epinephrine auto-injector 0.3mg,B0001013,1010,0001,0,0,0,2500,EA,USD,7900,25.00,1,23.75,62500.00,2026-03-28,2027-02-02,V-P002,US,INJECTABLE,quarantine,0.50,31250.00
PH-FLT-250,Fluticasone 250mcg inhaler,B0001065,1010,0001,250,0,0,0,EA,USD,7900,2.50,1,2.38,625.00,2024-11-21,2026-06-04,V-P001,DE,RESPIRATORY,near_expiry,0.25,156.25
PH-FLT-250,Fluticasone 250mcg inhaler,B0001115,1010,0001,0,0,500,0,EA,USD,7900,2.50,1,2.38,1250.00,2026-04-01,2028-09-30,V-P001,AT,RESPIRATORY,marked_for_deletion,1.00,1250.00
PH-FXA-500,Factor VIII 500iu vial,B0001055,1010,0001,0,0,500,0,EA,USD,7900,850.00,1,807.50,425000.00,2026-01-30,2027-06-16,V-P001,DE,BIOLOGIC,marked_for_deletion,1.00,425000.00
PH-FXA-500,Factor VIII 500iu vial,B0001105,1010,0001,5000,0,0,0,EA,USD,7900,850.00,1,807.50,4250000.00,2024-01-07,2025-12-20,V-P001,CH,BIOLOGIC,expired,1.00,4250000.00
PH-IBU-200,Ibuprofen 200mg tablets,B0001004,1010,0001,5000,0,0,0,EA,USD,7900,0.30,1,0.29,1500.00,2025-06-28,2026-02-14,V-P002,IE,OTC,expired,1.00,1500.00
PH-LIS-10,Lisinopril 10mg tablets,B0001010,1010,0001,0,0,5000,0,EA,USD,7900,0.80,1,0.76,4000.00,2026-02-13,2027-01-25,V-P005,US,CHRONIC,marked_for_deletion,1.00,4000.00
PH-LIS-10,Lisinopril 10mg tablets,B0001035,1010,0001,2500,0,0,0,EA,USD,7900,0.80,1,0.76,2000.00,2025-04-09,2028-09-06,V-P001,AT,CHRONIC,slow_moving,0.30,600.00
PH-LIS-10,Lisinopril 10mg tablets,B0001085,1010,0001,250,0,0,0,EA,USD,7900,0.80,1,0.76,200.00,2024-01-20,2025-11-03,V-P001,AT,CHRONIC,expired,1.00,200.00
PH-LOR-10,Loratadine 10mg tablets,B0001006,1010,0001,1000,0,0,0,EA,USD,7900,0.30,1,0.29,300.00,2026-01-09,2026-07-05,V-P004,DE,OTC,near_expiry,0.25,75.00
PH-MET-500,Metformin 500mg tablets,B0001040,1010,0001,2500,0,0,0,EA,USD,7900,0.80,1,0.76,2000.00,2023-07-11,2026-04-17,V-P006,DE,CHRONIC,expired,1.00,2000.00
PH-MET-500,Metformin 500mg tablets,B0001090,1010,0001,2500,0,0,0,EA,USD,7900,0.80,1,0.76,2000.00,2023-08-04,2026-05-11,V-P006,US,CHRONIC,expired,1.00,2000.00
PH-ONC-GLC,Glucarpidase 1000u vial,B0001050,1010,0001,100,0,0,0,EA,USD,7900,250.00,1,237.50,25000.00,2024-07-31,2026-06-16,V-P006,DE,ONCOLOGY,near_expiry,0.25,6250.00
PH-ONC-GLC,Glucarpidase 1000u vial,B0001100,1010,0001,500,0,0,0,EA,USD,7900,250.00,1,237.50,125000.00,2023-11-20,2026-01-01,V-P006,DE,ONCOLOGY,expired,1.00,125000.00
PH-SOF-400,Sofosbuvir 400mg tablets,B0001070,1010,0001,100,0,0,0,EA,USD,7900,18.00,1,17.10,1800.00,2024-04-11,2026-04-26,V-P006,US,ANTIVIRAL,expired,1.00,1800.00
PH-SOF-400,Sofosbuvir 400mg tablets,B0001120,1010,0001,0,0,0,1000,EA,USD,7900,18.00,1,17.10,18000.00,2025-12-09,2028-04-18,V-P006,DE,ANTIVIRAL,quarantine,0.50,9000.00
PH-VAC-FLU,Influenza vaccine quad 0.5ml,B0001045,1010,0001,2500,0,0,0,EA,USD,7900,35.00,1,33.25,87500.00,2023-10-11,2026-01-19,V-P001,CH,VACCINE,expired,1.00,87500.00
PH-VAC-FLU,Influenza vaccine quad 0.5ml,B0001095,1010,0001,10000,0,0,0,EA,USD,7900,35.00,1,33.25,350000.00,2024-02-07,2026-06-16,V-P001,DE,VACCINE,near_expiry,0.25,87500.00
PH-ASP-81,Aspirin 81mg tablets,B0001036,1710,0001,0,0,0,100,EA,USD,7900,0.30,1,0.29,30.00,2026-04-23,2028-08-13,V-P002,IL,OTC,quarantine,0.50,15.00
PH-ASP-81,Aspirin 81mg tablets,B0001086,1710,0001,100,0,0,0,EA,USD,7900,0.30,1,0.29,30.00,2023-10-12,2026-08-14,V-P002,DE,OTC,near_expiry,0.25,7.50
PH-ATV-20,Atorvastatin 20mg tablets,B0001009,1710,0001,10000,0,0,0,EA,USD,7900,0.80,1,0.76,8000.00,2026-03-20,2026-06-11,V-P003,CH,CHRONIC,near_expiry,0.25,2000.00
PH-ATV-20,Atorvastatin 20mg tablets,B0001026,1710,0001,5000,0,0,0,EA,USD,7900,0.80,1,0.76,4000.00,2023-03-05,2025-10-07,V-P002,IL,CHRONIC,expired,1.00,4000.00
PH-ATV-20,Atorvastatin 20mg tablets,B0001076,1710,0001,10000,0,0,0,EA,USD,7900,0.80,1,0.76,8000.00,2024-08-08,2026-02-18,V-P002,IE,CHRONIC,expired,1.00,8000.00
PH-HEP-25,"Heparin 25,000u vial",B0001061,1710,0001,100,0,0,0,EA,USD,7900,25.00,1,23.75,2500.00,2024-11-22,2028-09-25,V-P007,CH,INJECTABLE,slow_moving,0.30,750.00
PH-HEP-25,"Heparin 25,000u vial",B0001111,1710,0001,0,0,10000,0,EA,USD,7900,25.00,1,23.75,250000.00,2026-04-15,2027-12-25,V-P007,CH,INJECTABLE,marked_for_deletion,1.00,250000.00
PH-LOR-10,Loratadine 10mg tablets,B0001031,1710,0001,1000,0,0,0,EA,USD,7900,0.30,1,0.29,300.00,2025-02-17,2029-12-12,V-P007,US,OTC,slow_moving,0.30,90.00
PH-LOR-10,Loratadine 10mg tablets,B0001081,1710,0001,100,0,0,0,EA,USD,7900,0.30,1,0.29,30.00,2025-05-02,2029-08-02,V-P007,CH,OTC,slow_moving,0.30,9.00
PH-MET-500,Metformin 500mg tablets,B0001008,1710,0001,2500,0,0,0,EA,USD,7900,0.80,1,0.76,2000.00,2026-03-14,2026-05-22,V-P002,DE,CHRONIC,near_expiry,0.25,500.00
PH-MOR-10,Morphine sulfate 10mg/ml,B0001014,1710,0001,0,0,0,10000,EA,USD,7900,5.00,1,4.75,50000.00,2026-04-01,2027-01-20,V-P002,US,CONTROLLED,quarantine,0.50,25000.00
PH-MTX-25,Methotrexate 25mg/ml vial,B0001066,1710,0001,0,0,0,10000,EA,USD,7900,250.00,1,237.50,2500000.00,2026-04-07,2027-05-25,V-P002,DE,ONCOLOGY,quarantine,0.50,1250000.00
PH-MTX-25,Methotrexate 25mg/ml vial,B0001116,1710,0001,0,0,0,1000,EA,USD,7900,250.00,1,237.50,250000.00,2025-12-13,2027-03-20,V-P002,IE,ONCOLOGY,quarantine,0.50,125000.00
PH-ONC-PEM,Pembrolizumab 100mg vial,B0001051,1710,0001,1000,0,0,0,EA,USD,7900,250.00,1,237.50,250000.00,2024-09-03,2026-08-12,V-P007,CH,ONCOLOGY,near_expiry,0.25,62500.00
PH-ONC-PEM,Pembrolizumab 100mg vial,B0001101,1710,0001,100,0,0,0,EA,USD,7900,250.00,1,237.50,25000.00,2024-08-22,2026-07-29,V-P007,CH,ONCOLOGY,near_expiry,0.25,6250.00
PH-OSL-75,Oseltamivir 75mg capsules,B0001071,1710,0001,100,0,0,0,EA,USD,7900,18.00,1,17.10,1800.00,2023-08-02,2026-06-03,V-P007,US,ANTIVIRAL,near_expiry,0.25,450.00
PH-OSL-75,Oseltamivir 75mg capsules,B0001121,1710,0001,0,0,5000,0,EA,USD,7900,18.00,1,17.10,90000.00,2025-12-27,2028-10-09,V-P007,US,ANTIVIRAL,marked_for_deletion,1.00,90000.00
PH-OXY-5,Oxycodone 5mg tablets,B0001056,1710,0001,0,0,0,1000,EA,USD,7900,5.00,1,4.75,5000.00,2026-01-14,2028-04-09,V-P002,IE,CONTROLLED,quarantine,0.50,2500.00
PH-OXY-5,Oxycodone 5mg tablets,B0001106,1710,0001,0,0,0,500,EA,USD,7900,5.00,1,4.75,2500.00,2026-02-17,2028-05-24,V-P002,IE,CONTROLLED,quarantine,0.50,1250.00
PH-VAC-MMR,MMR vaccine 0.5ml dose,B0001046,1710,0001,500,0,0,0,EA,USD,7900,35.00,1,33.25,17500.00,2023-10-02,2026-06-06,V-P002,IE,VACCINE,near_expiry,0.25,4375.00
PH-VAC-MMR,MMR vaccine 0.5ml dose,B0001096,1710,0001,5000,0,0,0,EA,USD,7900,35.00,1,33.25,175000.00,2023-09-15,2026-07-19,V-P002,IE,VACCINE,near_expiry,0.25,43750.00
PH-WAR-5,Warfarin 5mg tablets,B0001041,1710,0001,1000,0,0,0,EA,USD,7900,0.80,1,0.76,800.00,2024-10-01,2026-08-15,V-P007,CH,CHRONIC,near_expiry,0.25,200.00
PH-WAR-5,Warfarin 5mg tablets,B0001091,1710,0001,5000,0,0,0,EA,USD,7900,0.80,1,0.76,4000.00,2024-08-28,2027-09-02,V-P007,US,CHRONIC,slow_moving,0.30,1200.00
PH-ACE-325,Acetaminophen 325mg tablets,B0001005,2010,0001,10000,0,0,0,EA,USD,7900,0.30,1,0.29,3000.00,2026-01-01,2026-06-03,V-P001,IE,OTC,near_expiry,0.25,750.00
PH-CSP-100,Cyclosporine 100mg capsules,B0001067,2010,0001,500,0,0,0,EA,USD,7900,150.00,1,142.50,75000.00,2024-12-22,2026-08-05,V-P003,US,IMMUNO,near_expiry,0.25,18750.00
PH-CSP-100,Cyclosporine 100mg capsules,B0001117,2010,0001,0,0,0,10000,EA,USD,7900,150.00,1,142.50,1500000.00,2026-01-09,2027-11-19,V-P003,IN,IMMUNO,quarantine,0.50,750000.00
PH-EPO-4K,Erythropoietin 4000u syringe,B0001062,2010,0001,100,0,0,0,EA,USD,7900,25.00,1,23.75,2500.00,2024-07-08,2028-11-05,V-P008,GB,INJECTABLE,slow_moving,0.30,750.00
PH-EPO-4K,Erythropoietin 4000u syringe,B0001112,2010,0001,0,0,250,0,EA,USD,7900,25.00,1,23.75,6250.00,2026-03-27,2028-06-03,V-P008,US,INJECTABLE,marked_for_deletion,1.00,6250.00
PH-FNT-50,Fentanyl 50mcg/ml ampoule,B0001057,2010,0001,0,0,0,250,EA,USD,7900,5.00,1,4.75,1250.00,2025-12-22,2027-10-16,V-P003,US,CONTROLLED,quarantine,0.50,625.00
PH-FNT-50,Fentanyl 50mcg/ml ampoule,B0001107,2010,0001,1000,0,0,0,EA,USD,7900,5.00,1,4.75,5000.00,2024-10-23,2026-04-02,V-P003,IN,CONTROLLED,expired,1.00,5000.00
PH-IBU-200,Ibuprofen 200mg tablets,B0001032,2010,0001,100,0,0,0,EA,USD,7900,0.30,1,0.29,30.00,2023-10-29,2025-12-05,V-P008,US,OTC,expired,1.00,30.00
PH-IBU-200,Ibuprofen 200mg tablets,B0001082,2010,0001,0,0,2500,0,EA,USD,7900,0.30,1,0.29,750.00,2025-11-14,2028-09-30,V-P008,US,OTC,marked_for_deletion,1.00,750.00
PH-INS-100,Insulin Glargine 100u/ml vial,B0001012,2010,0001,0,0,0,1000,EA,USD,7900,25.00,1,23.75,25000.00,2026-02-24,2026-11-16,V-P001,DE,INJECTABLE,quarantine,0.50,12500.00
PH-INS-100,Insulin Glargine 100u/ml vial,B0001042,2010,0001,2500,0,0,0,EA,USD,7900,25.00,1,23.75,62500.00,2024-10-23,2028-01-25,V-P008,US,INJECTABLE,slow_moving,0.30,18750.00
PH-INS-100,Insulin Glargine 100u/ml vial,B0001092,2010,0001,5000,0,0,0,EA,USD,7900,25.00,1,23.75,125000.00,2023-10-11,2026-06-22,V-P008,GB,INJECTABLE,near_expiry,0.25,31250.00
PH-LEV-50,Levothyroxine 50mcg tablets,B0001011,2010,0001,0,0,500,0,EA,USD,7900,0.80,1,0.76,400.00,2025-12-12,2027-01-21,V-P006,DE,CHRONIC,marked_for_deletion,1.00,400.00
PH-LEV-50,Levothyroxine 50mcg tablets,B0001027,2010,0001,0,0,0,500,EA,USD,7900,0.80,1,0.76,400.00,2026-02-26,2027-06-09,V-P003,US,CHRONIC,quarantine,0.50,200.00
PH-LEV-50,Levothyroxine 50mcg tablets,B0001077,2010,0001,0,0,0,500,EA,USD,7900,0.80,1,0.76,400.00,2026-02-05,2028-10-28,V-P003,IN,CHRONIC,quarantine,0.50,200.00
PH-OMP-20,Omeprazole 20mg capsules,B0001007,2010,0001,1000,0,0,0,EA,USD,7900,0.30,1,0.29,300.00,2026-02-10,2026-07-02,V-P002,IN,OTC,near_expiry,0.25,75.00
PH-ONC-GLC,Glucarpidase 1000u vial,B0001015,2010,0001,5000,0,0,0,EA,USD,7900,250.00,1,237.50,1250000.00,2025-02-12,2028-04-24,V-P006,IN,ONCOLOGY,slow_moving,0.30,375000.00
PH-ONC-RTX,Rituximab 500mg vial,B0001052,2010,0001,250,0,0,0,EA,USD,7900,250.00,1,237.50,62500.00,2024-06-25,2027-11-24,V-P008,GB,ONCOLOGY,slow_moving,0.30,18750.00
PH-ONC-RTX,Rituximab 500mg vial,B0001102,2010,0001,2500,0,0,0,EA,USD,7900,250.00,1,237.50,625000.00,2023-12-02,2026-05-09,V-P008,US,ONCOLOGY,expired,1.00,625000.00
PH-ONC-TRZ,Trastuzumab 150mg vial,B0001016,2010,0001,2500,0,0,0,EA,USD,7900,250.00,1,237.50,625000.00,2024-12-27,2027-10-01,V-P005,CH,ONCOLOGY,slow_moving,0.30,187500.00
PH-PRE-20,Prednisone 20mg tablets,B0001037,2010,0001,5000,0,0,0,EA,USD,7900,0.80,1,0.76,4000.00,2023-06-29,2025-11-08,V-P003,US,CHRONIC,expired,1.00,4000.00
PH-PRE-20,Prednisone 20mg tablets,B0001087,2010,0001,500,0,0,0,EA,USD,7900,0.80,1,0.76,400.00,2024-05-25,2026-06-09,V-P003,US,CHRONIC,near_expiry,0.25,100.00
PH-RBV-200,Ribavirin 200mg capsules,B0001072,2010,0001,0,0,500,0,EA,USD,7900,18.00,1,17.10,9000.00,2026-01-09,2029-02-12,V-P008,US,ANTIVIRAL,marked_for_deletion,1.00,9000.00
PH-RBV-200,Ribavirin 200mg capsules,B0001122,2010,0001,0,0,250,0,EA,USD,7900,18.00,1,17.10,4500.00,2025-10-09,2027-06-26,V-P008,US,ANTIVIRAL,marked_for_deletion,1.00,4500.00
PH-VAC-HPV,HPV9 vaccine 0.5ml dose,B0001047,2010,0001,250,0,0,0,EA,USD,7900,35.00,1,33.25,8750.00,2024-07-23,2027-12-22,V-P003,IN,VACCINE,slow_moving,0.30,2625.00
PH-VAC-HPV,HPV9 vaccine 0.5ml dose,B0001097,2010,0001,250,0,0,0,EA,USD,7900,35.00,1,33.25,8750.00,2023-09-30,2026-04-10,V-P003,US,VACCINE,expired,1.00,8750.00
PH-VAC-MMR,MMR vaccine 0.5ml dose,B0001017,2010,0001,500,0,0,0,EA,USD,7900,35.00,1,33.25,17500.00,2024-06-08,2028-05-15,V-P003,US,VACCINE,slow_moving,0.30,5250.00
PH-ALB-100,Albumin 25% 100ml IV,B0001053,3010,0001,250,0,0,0,EA,USD,7900,850.00,1,807.50,212500.00,2024-10-04,2026-08-14,V-P009,FR,BIOLOGIC,near_expiry,0.25,53125.00
PH-ALB-100,Albumin 25% 100ml IV,B0001103,3010,0001,2500,0,0,0,EA,USD,7900,850.00,1,807.50,2125000.00,2024-10-19,2026-06-04,V-P009,FR,BIOLOGIC,near_expiry,0.25,531250.00
PH-AMP-1G,Ampicillin 1g IV vial,B0001073,3010,0001,1000,0,0,0,EA,USD,7900,4.50,1,4.28,4500.00,2024-03-25,2026-03-01,V-P009,FR,ANTIBIOTIC,expired,1.00,4500.00
PH-AMP-1G,Ampicillin 1g IV vial,B0001123,3010,0001,10000,0,0,0,EA,USD,7900,4.50,1,4.28,45000.00,2024-04-10,2026-08-18,V-P009,FR,ANTIBIOTIC,near_expiry,0.25,11250.00
PH-AMX-250,Amoxicillin 250mg oral susp.,B0001033,3010,0001,100,0,0,0,EA,USD,7900,4.50,1,4.28,450.00,2023-09-21,2026-04-01,V-P009,US,ANTIBIOTIC,expired,1.00,450.00
PH-AMX-250,Amoxicillin 250mg oral susp.,B0001083,3010,0001,1000,0,0,0,EA,USD,7900,4.50,1,4.28,4500.00,2024-03-13,2025-12-23,V-P009,FR,ANTIBIOTIC,expired,1.00,4500.00
PH-CIP-500,Ciprofloxacin 500mg tablets,B0001038,3010,0001,500,0,0,0,EA,USD,7900,4.50,1,4.28,2250.00,2022-12-31,2025-12-01,V-P004,IN,ANTIBIOTIC,expired,1.00,2250.00
PH-CIP-500,Ciprofloxacin 500mg tablets,B0001088,3010,0001,500,0,0,0,EA,USD,7900,4.50,1,4.28,2250.00,2023-04-29,2026-01-02,V-P004,IN,ANTIBIOTIC,expired,1.00,2250.00
PH-DEX-4,Dexamethasone 4mg tablets,B0001028,3010,0001,0,0,2500,0,EA,USD,7900,0.80,1,0.76,2000.00,2025-12-26,2029-01-30,V-P004,US,CHRONIC,marked_for_deletion,1.00,2000.00
PH-DEX-4,Dexamethasone 4mg tablets,B0001078,3010,0001,500,0,0,0,EA,USD,7900,0.80,1,0.76,400.00,2024-04-09,2026-07-14,V-P004,IN,CHRONIC,near_expiry,0.25,100.00
PH-EPI-03,Epinephrine auto-injector 0.3mg,B0001043,3010,0001,1000,0,0,0,EA,USD,7900,25.00,1,23.75,25000.00,2025-05-14,2029-04-17,V-P009,FR,INJECTABLE,slow_moving,0.30,7500.00
PH-EPI-03,Epinephrine auto-injector 0.3mg,B0001093,3010,0001,5000,0,0,0,EA,USD,7900,25.00,1,23.75,125000.00,2024-10-15,2026-07-26,V-P009,FR,INJECTABLE,near_expiry,0.25,31250.00
PH-GCS-300,Filgrastim 300mcg syringe,B0001063,3010,0001,2500,0,0,0,EA,USD,7900,25.00,1,23.75,62500.00,2023-07-23,2026-06-28,V-P009,FR,INJECTABLE,near_expiry,0.25,15625.00
PH-GCS-300,Filgrastim 300mcg syringe,B0001113,3010,0001,0,0,0,250,EA,USD,7900,25.00,1,23.75,6250.00,2026-02-09,2027-03-05,V-P009,FR,INJECTABLE,quarantine,0.50,3125.00
PH-MID-2,Midazolam 2mg/ml ampoule,B0001058,3010,0001,100,0,0,0,EA,USD,7900,5.00,1,4.75,500.00,2023-04-01,2026-01-06,V-P004,US,CONTROLLED,expired,1.00,500.00
PH-MID-2,Midazolam 2mg/ml ampoule,B0001108,3010,0001,1000,0,0,0,EA,USD,7900,5.00,1,4.75,5000.00,2023-08-28,2026-07-06,V-P004,US,CONTROLLED,near_expiry,0.25,1250.00
PH-TAC-1,Tacrolimus 1mg capsules,B0001068,3010,0001,250,0,0,0,EA,USD,7900,150.00,1,142.50,37500.00,2024-01-31,2026-03-15,V-P004,US,IMMUNO,expired,1.00,37500.00
PH-TAC-1,Tacrolimus 1mg capsules,B0001118,3010,0001,100,0,0,0,EA,USD,7900,150.00,1,142.50,15000.00,2024-09-22,2026-05-03,V-P004,US,IMMUNO,expired,1.00,15000.00
PH-VAC-COV,COVID-19 mRNA booster 0.3ml,B0001048,3010,0001,2500,0,0,0,EA,USD,7900,35.00,1,33.25,87500.00,2023-07-23,2026-02-23,V-P004,US,VACCINE,expired,1.00,87500.00
PH-VAC-COV,COVID-19 mRNA booster 0.3ml,B0001098,3010,0001,100,0,0,0,EA,USD,7900,35.00,1,33.25,3500.00,2024-11-21,2029-08-14,V-P004,US,VACCINE,slow_moving,0.30,1050.00
